date,kg,
2022/7/30,75.6 ,19.2 
2022/7/31,75.6 ,19.4 
2022/8/1,76.0 ,19.9 
2022/8/2,75.6 ,19.0 
2022/8/3,76.0 ,20.4 
2022/8/4,75.4 ,19.5 
2022/8/5,75.2 ,18.5 
2022/8/6,75.8 ,19.3 
2022/8/7,76.4 ,19.0 
2022/8/8,76.0 ,19.6 
2022/8/9,75.6 ,19.4 
2022/8/10,,
2022/8/11,75.5 ,19.5 
2022/8/12,76.0 ,19.5 
2022/8/13,75.9 ,18.5 
2022/8/14,76.5 ,18.5 
2022/8/15,,
2022/8/16,76.0 ,19.3 
2022/8/17,76.0 ,18.6 
2022/8/18,75.8 ,18.5 
2022/8/19,75.9 ,19.6 
2022/8/20,76.0 ,19.0 
2022/8/21,75.9 ,18.7 
2022/8/22,75.8 ,18.6 
2022/8/23,75.8 ,18.2 
2022/8/24,75.7 ,18.2 
2022/8/25,75.6 ,19.0 
2022/8/26,75.9 ,18.5 
2022/8/27,75.7 ,16.3 
2022/8/28,75.9 ,18.5 
2022/8/29,76.1 ,19.5 
2022/8/30,75.5 ,19.2 
2022/8/31,75.8 ,19.0 
2022/9/1,76.1 ,19.0 
2022/9/2,76.1 ,19.1 
2022/9/3,75.1 ,20.0 
2022/9/4,75.7 ,17.5 
2022/9/5,76.2 ,19.2 
2022/9/6,75.9 ,19.2 
2022/9/7,76.0 ,19.2 
2022/9/8,,
2022/9/9,75.7 ,20.2 
2022/9/10,75.4 ,19.6 
2022/9/11,75.2 ,18.2 
2022/9/12,76.2 ,19.5 
2022/9/13,76.3 ,20.2 
2022/9/14,75.6 ,18.8 
2022/9/15,75.6 ,19.5 
2022/9/16,75.4 ,19.8 
2022/9/17,76.0 ,19.1 
2022/9/18,75.7 ,18.8 
2022/9/19,76.3 ,18.8 
2022/9/20,76.7 ,20.2 
2022/9/21,76.0 ,20.7 
2022/9/22,76.2 ,20.2 
2022/9/23,75.5 ,18.5 
2022/9/24,76.0 ,18.8 
2022/9/25,76.2 ,19.2 
2022/9/26,75.8 ,19.3 
2022/9/27,76.2 ,19.7 
2022/9/28,76.2 ,20.4 
2022/9/29,76.1 ,19.8 
2022/9/30,76.0 ,19.6 
2022/10/1,75.5 ,19.4 
2022/10/2,75.8 ,19.2 
2022/10/3,76.2 ,19.0 
2022/10/4,76.3 ,19.2 
2022/10/5,,
2022/10/6,75.8 ,19.8 
2022/10/7,75.5 ,20.1 
2022/10/8,75.6 ,20.2 
2022/10/9,75.6 ,19.5 
2022/10/10,75.9 ,20.6 
2022/10/11,,
2022/10/12,,
2022/10/13,,
2022/10/14,,
2022/10/15,,
2022/10/16,76.5 ,18.4 
2022/10/17,76.7 ,17.8 
2022/10/18,76.8 ,17.8 
2022/10/19,76.4 ,18.2 
2022/10/20,76.2 ,18.7 
2022/10/21,76.3 ,18.4 
2022/10/22,75.9 ,17.9 
2022/10/23,,
2022/10/24,76.4 ,18.4 
2022/10/25,76.3 ,19.4 
2022/10/26,76.6 ,18.4 
2022/10/27,76.1 ,18.4 
2022/10/28,75.7 ,19.1 
2022/10/29,75.8 ,18.8 
2022/10/30,76.2 ,18.8 
2022/10/31,76.4 ,18.8 
2022/11/1,76.3 ,19.2 
2022/11/2,75.5 ,18.9 
2022/11/3,75.2 ,18.1 
2022/11/4,75.9 ,17.1 
2022/11/5,75.8 ,18.1 
2022/11/6,76.2 ,18.1 
2022/11/7,76.9 ,18.4 
2022/11/8,75.7 ,20.0 
2022/11/9,76.2 ,19.1 
2022/11/10,75.9 ,19.0 
2022/11/11,76.2 ,19.8 
2022/11/12,76.0 ,19.5 
2022/11/13,76.3 ,19.0 
2022/11/14,76.5 ,19.5 
2022/11/15,75.5 ,19.1 
2022/11/16,75.4 ,19.0 
2022/11/17,75.5 ,19.5 
2022/11/18,75.3 ,18.5 
2022/11/19,75.1 ,19.4 
2022/11/20,75.2 ,17.4 
2022/11/21,75.8 ,18.5 
2022/11/22,75.9 ,19.5 
2022/11/23,75.9 ,18.5 
2022/11/24,76.2 ,18.7 
2022/11/25,75.5 ,19.1 
2022/11/26,75.1 ,18.9 
2022/11/27,74.9 ,18.9 
2022/11/28,75.4 ,17.9 
2022/11/29,75.6 ,19.1 
2022/11/30,75.0 ,18.7 
2022/12/1,74.3 ,18.7 
2022/12/2,74.3 ,18.5 
2022/12/3,73.9 ,18.6 
2022/12/4,73.4 ,16.9 
2022/12/5,73.5 ,17.2 
2022/12/6,73.9 ,18.1 
2022/12/7,73.8 ,18.6 
2022/12/8,73.3 ,18.5 
2022/12/9,73.5 ,17.5 
2022/12/10,73.6 ,18.4 
2022/12/11,73.7 ,17.3 
2022/12/12,73.5 ,17.5 
2022/12/13,73.3 ,17.9 
2022/12/14,73.8 ,17.5 
2022/12/15,73.3 ,18.3 
2022/12/16,73.0 ,17.5 
2022/12/17,72.9 ,18.8 
2022/12/18,72.9 ,19.3 
2022/12/19,73.3 ,17.3 
2022/12/20,73.3 ,17.5 
2022/12/21,73.1 ,17.9 
2022/12/22,73.2 ,17.8 
2022/12/23,72.9 ,17.0 
2022/12/24,72.6 ,17.5 
2022/12/25,72.3 ,16.8 
2022/12/26,72.9 ,16.2 
2022/12/27,73.3 ,17.8 
2022/12/28,72.6 ,17.2 
2022/12/29,73.0 ,16.9 
2022/12/30,73.4 ,16.2 
2022/12/31,,
2021/1/1,70.00 ,15.3 
2021/1/2,69.90 ,15.7 
2021/1/3,,
2021/1/4,,
2021/1/5,71.20 ,15.9 
2021/1/6,70.80 ,15.4 
2021/1/7,71.20 ,16.1 
2021/1/8,70.80 ,15.1 
2021/1/9,70.20 ,15.0 
2021/1/10,70.00 ,16.9 
2021/1/11,70.60 ,17.3 
2021/1/12,71.20 ,14.8 
2021/1/13,70.70 ,16.0 
2021/1/14,70.50 ,15.1 
2021/1/15,,
2021/1/16,70.90 ,15.4 
2021/1/17,71.40 ,16.5 
2021/1/18,71.20 ,16.0 
2021/1/19,70.50 ,16.2 
2021/1/20,71.30 ,16.5 
2021/1/21,71.70 ,16.4 
2021/1/22,71.60 ,15.5 
2021/1/23,71.60 ,15.4 
2021/1/24,71.60 ,16.5 
2021/1/25,71.70 ,16.7 
2021/1/26,71.20 ,15.7 
2021/1/27,71.10 ,16.4 
2021/1/28,71.80 ,16.6 
2021/1/29,71.50 ,16.7 
2021/1/30,71.70 ,16.6 
2021/1/31,71.30 ,14.8 
2021/2/1,71.80 ,15.8 
2021/2/2,71.70 ,16.6 
2021/2/3,71.90 ,17.4 
2021/2/4,71.50 ,15.3 
2021/2/5,71.50 ,15.4 
2021/2/6,71.50 ,16.4 
2021/2/7,,
2021/2/8,72.00 ,15.8 
2021/2/9,71.90 ,17.4 
2021/2/10,71.70 ,16.0 
2021/2/11,71.50 ,17.0 
2021/2/12,71.60 ,15.9 
2021/2/13,71.50 ,16.8 
2021/2/14,,
2021/2/15,72.30 ,16.0 
2021/2/16,72.00 ,16.0 
2021/2/17,72.10 ,16.5 
2021/2/18,71.80 ,16.5 
2021/2/19,71.90 ,16.5 
2021/2/20,71.80 ,16.6 
2021/2/21,,
2021/2/22,72.60 ,17.5 
2021/2/23,72.70 ,17.7 
2021/2/24,72.50 ,16.6 
2021/2/25,72.90 ,17.7 
2021/2/26,73.00 ,17.2 
2021/2/27,72.30 ,16.8 
2021/2/28,72.60 ,16.3 
2021/3/1,72.70 ,16.9 
2021/3/2,72.30 ,17.1 
2021/3/3,72.00 ,17.1 
2021/3/4,71.80 ,16.6 
2021/3/5,71.90 ,16.9 
2021/3/6,71.90 ,17.1 
2021/3/7,,
2021/3/8,72.80 ,17.5 
2021/3/9,72.40 ,17.3 
2021/3/10,72.10 ,16.6 
2021/3/11,,
2021/3/12,71.70 ,17.0 
2021/3/13,,
2021/3/14,72.40 ,17.4 
2021/3/15,71.90 ,16.6 
2021/3/16,,
2021/3/17,71.90 ,17.7 
2021/3/18,71.80 ,16.6 
2021/3/19,71.90 ,17.0 
2021/3/20,72.30 ,17.1 
2021/3/21,,
2021/3/22,72.90 ,16.9 
2021/3/23,72.90 ,17.8 
2021/3/24,72.90 ,17.0 
2021/3/25,72.60 ,17.5 
2021/3/26,,
2021/3/27,73.30 ,18.1 
2021/3/28,,
2021/3/29,73.30 ,18.0 
2021/3/30,73.40 ,18.0 
2021/3/31,73.00 ,17.5 
2021/4/1,72.90 ,18.7 
2021/4/2,72.70 ,18.0 
2021/4/3,73.00 ,18.0 
2021/4/4,,
2021/4/5,74.10 ,18.7 
2021/4/6,72.50 ,17.9 
2021/4/7,72.50 ,18.7 
2021/4/8,73.20 ,17.0 
2021/4/9,72.90 ,18.7 
2021/4/10,,
2021/4/11,73.90 ,18.9 
2021/4/12,73.70 ,17.4 
2021/4/13,73.50 ,18.5 
2021/4/14,73.70 ,17.9 
2021/4/15,73.60 ,17.8 
2021/4/16,73.60 ,17.3 
2021/4/17,74.20 ,19.0 
2021/4/18,73.80 ,18.9 
2021/4/19,73.80 ,17.7 
2021/4/20,74.00 ,18.4 
2021/4/21,73.60 ,17.9 
2021/4/22,73.30 ,17.2 
2021/4/23,73.60 ,18.2 
2021/4/24,73.20 ,18.2 
2021/4/25,73.10 ,17.5 
2021/4/26,,
2021/4/27,,
2021/4/28,,
2021/4/29,,
2021/4/30,,
2021/5/1,,
2021/5/2,,
2021/5/3,,
2021/5/4,,
2021/5/5,,
2021/5/6,73.80 ,18.9 
2021/5/7,73.50 ,19.2 
2021/5/8,74.20 ,18.7 
2021/5/9,73.60 ,17.0 
2021/5/10,74.50 ,17.3 
2021/5/11,74.50 ,18.5 
2021/5/12,73.20 ,17.0 
2021/5/13,73.40 ,17.9 
2021/5/14,73.70 ,16.8 
2021/5/15,73.70 ,17.8 
2021/5/16,73.50 ,17.5 
2021/5/17,74.30 ,17.4 
2021/5/18,74.10 ,18.6 
2021/5/19,73.30 ,17.2 
2021/5/20,73.30 ,18.8 
2021/5/21,73.30 ,17.6 
2021/5/22,73.50 ,17.8 
2021/5/23,73.70 ,16.8 
2021/5/24,73.90 ,18.2 
2021/5/25,73.70 ,19.2 
2021/5/26,73.40 ,18.5 
2021/5/27,73.20 ,18.1 
2021/5/28,73.80 ,18.5 
2021/5/29,73.20 ,17.0 
2021/5/30,73.70 ,18.8 
2021/5/31,73.60 ,18.1 
2021/6/1,73.70 ,18.1 
2021/6/2,73.60 ,17.5 
2021/6/3,73.60 ,18.8 
2021/6/4,73.90 ,17.2 
2021/6/5,73.90 ,18.1 
2021/6/6,73.80 ,18.8 
2021/6/7,73.60 ,18.5 
2021/6/8,74.00 ,19.1 
2021/6/9,73.90 ,18.5 
2021/6/10,73.50 ,18.8 
2021/6/11,73.60 ,18.8 
2021/6/12,73.80 ,17.6 
2021/6/13,73.60 ,16.8 
2021/6/14,74.20 ,17.8 
2021/6/15,73.50 ,18.8 
2021/6/16,73.70 ,17.8 
2021/6/17,73.70 ,18.9 
2021/6/18,73.70 ,17.3 
2021/6/19,74.10 ,17.8 
2021/6/20,73.70 ,17.4 
2021/6/21,73.90 ,17.3 
2021/6/22,74.10 ,19.0 
2021/6/23,73.90 ,18.5 
2021/6/24,73.60 ,18.6 
2021/6/25,73.70 ,18.3 
2021/6/26,73.40 ,16.8 
2021/6/27,73.70 ,18.0 
2021/6/28,74.10 ,16.6 
2021/6/29,73.90 ,18.0 
2021/6/30,74.10 ,17.8 
2021/7/1,74.00 ,18.5 
2021/7/2,73.40 ,17.5 
2021/7/3,,
2021/7/4,73.40 ,17.5 
2021/7/5,73.90 ,16.9 
2021/7/6,74.20 ,17.3 
